EMP_ID,NON HW_COMPENSATION,HW_COMPENSATION,PAID_HOURS,PRODUCTIVITY
629,728.07,277.67,72.88,1
20410,637.06,242.96,63.77,1
27110,801.69,298.28,78.29,1
80139,701.6,267.58,70.23,1
126162,713.09,271.96,71.38,1
130085,873.02,327.74,86.02,1
134929,617.68,235.57,61.83,1
135808,708.79,270.32,70.95,1
137810,397.27,149.77,39.31,1
140500,663.44,253.02,66.41,1
142960,843.75,316.57,83.09,1
151706,688.71,262.66,68.94,1
155358,840.25,315.24,82.74,1
157455,1068.64,330.21,86.67,1
160355,715.88,273.02,71.66,1
182290,752.05,286.82,75.28,1
211838,708.89,270.36,70.96,1
250010,112,0,14,1
257926,225,0,30,1
1090,3.88,0,20.75,0.02112
2503,19.67,0,33.5,0.06907
6650,4.11,0,20,0.02583
8259,49.88,0,26.25,0.28711
8865,8.33,0,32.75,0.0308
9732,28.33,0,44.5,0.07214
9904,8.17,0,27.25,0.0323
12965,3.48,0,15,0.02655
15494,180.47,0,44.75,0.57
98021,17.17,0,33.5,0.05446
253407,16.34,0,35.25,0.04999
94540,231.74,0,37,0.37643
95557,713.59,272.15,71.43,1
119964,1296.58,330.21,86.67,1
126899,847.94,318.17,83.51,1
137811,776.12,296,77.69,1
139630,800.05,297.68,78.13,1
139633,801.28,298.13,78.25,1
140503,724.97,276.49,72.57,1
150207,803.84,299.09,78.5,1
160595,492.64,0,61.58,1
229250,1079.52,0,86,1
232550,418.33,0,57.7,1
247873,789.71,293.83,77.12,1
248427,298.34,0,41.15,1
251393,801.38,298.17,78.26,1
254741,500.25,0,69,1
255836,752.71,0,63.52,1
13569,9.28,0,34.5,0.03062
20762,6.86,0,30.25,0.02673
21505,16.2,0,46.25,0.04102
23923,11.23,0,28.75,0.04548
198211,12.35,0,14,0.10128
202103,1.57,0,4.25,0.0543
213498,3.72,0,8.5,0.0552
251378,13.61,0,33.25,0.04596
257665,4.38,0,6,0.08235
18901,1645.86,330.21,86.67,1
79314,712.89,271.88,71.36,1
79744,753.55,287.39,75.43,1
79928,707.99,270.01,70.87,1
88454,468.84,160.78,42.2,1
100853,749.41,284.07,74.56,1
139858,778.22,296.8,77.9,1
151708,712.69,271.81,71.34,1
152400,713.19,272,71.39,1
184586,796.13,300.15,78.78,1
192335,706.19,269.33,70.69,1
255513,272.75,0,37.62,1
11364,10.83,0,11.25,0.1551
19312,454.94,0,66.75,0.94383
22320,0.62,0,4.5,0.0145
89909,33.04,0,46.75,0.08071
117307,1.98,0,10.5,0.02335
220043,5.26,0,15.75,0.03934
224685,24.42,0,35.75,0.07768
229012,1.81,0,5.25,0.03828
4802,705.89,269.21,70.66,1
6982,1193.21,314.55,83.56,1
14874,448.62,153.85,40.38,1
25892,1222.86,314.67,83.59,1
25760,712.39,271.69,71.31,1
152308,778.02,296.72,77.88,1
154116,749.15,285.71,74.99,1
199377,805.02,303.54,79.67,1
202015,1208.79,0,121,1
215243,363.95,0,50.2,1
252611,496,0,62,1
255868,264.63,0,36.5,1
258178,308.92,0,42.61,1
1622,4.52,0,8.25,0.0715
2433,40.13,0,44.25,0.11264
4344,7.82,0,23.5,0.04408
13651,15.85,0,37.25,0.04593
22366,18.73,0,22.75,0.14685
118552,5.05,0,7.5,0.07497
123585,14.37,0,37.5,0.04213
134367,4.12,0,13.5,0.04072
17746,1037.25,285.75,75,1
80131,1801,330.21,86.67,1
80601,711.49,271.35,71.22,1
130089,783.46,291.5,76.51,1
132721,861.23,323.24,84.84,1
137033,846.95,317.79,83.41,1
138400,816.81,308.04,80.85,1
140501,713.19,272,71.39,1
145600,666.93,254.36,66.76,1
151896,696.8,265.75,69.75,1
160356,718.15,272.15,71.43,1
192032,857.01,304.88,80.02,1
197127,796.16,296.23,77.75,1
227943,440.08,0,60.7,1
230576,360.33,0,49.7,1
236034,524.94,0,56.75,1
239400,760.5,288.3,75.67,1
251553,708.49,270.21,70.92,1
254399,362.5,0,50,1
126,5.4,0,15.25,0.03897
8439,2.46,0,7.5,0.03835
9970,22.21,0,34.5,0.07675
16693,1.91,0,4,0.06205
21176,59.32,0,43.5,0.15616
22836,0.48,0,5.5,0.0137
97375,6.26,0,4.5,0.1568
197447,0.87,0,2.5,0.0392
202416,5.69,0,22.5,0.02585
213458,22.28,0,32.5,0.08261
12500,716.58,273.29,71.73,1
80176,804.22,303.24,79.59,1
93112,801.38,298.17,78.26,1
94539,638.36,237.52,62.34,1
117585,852.94,320.08,84.01,1
123694,835.56,313.45,82.27,1
126542,802.6,306.1,80.34,1
129866,750.51,284.49,74.67,1
164290,711.69,271.42,71.24,1
206799,740,0,80,1
229204,287.1,0,39.6,1
229490,743.06,283.39,74.38,1
240794,1397.12,330.21,86.67,1
247062,290,0,40,1
252274,332.78,0,45.9,1
257301,343.87,0,47.43,1
13579,9.21,0,31.25,0.03405
23041,36,0,44.5,0.09334
88367,5.92,0,15.25,0.04323
97450,2.11,0,10.5,0.03023
115971,138.38,0,51.25,1
118658,8.36,0,24.5,0.03883
156355,8.11,0,21.25,0.04642
205158,3.65,0,7,0.05555
211818,2.61,0,13.25,0.02398
226203,27.55,0,35.5,0.08333
256657,8.57,0,17.75,0.0532
103317,705.59,269.1,70.63,1
117223,724.57,276.34,72.53,1
127471,717.58,273.67,71.83,1
135883,819.41,309.03,81.11,1
167081,711.79,271.46,71.25,1
198292,754.25,287.66,75.5,1
199356,712.79,271.84,71.35,1
224887,290,0,40,1
249835,298.99,0,41.24,1
249836,1801,0,86.67,1
252331,1027.04,0,86.67,1
252411,345.03,0,47.59,1
254818,587.25,0,81,1
255960,518.38,0,71.5,1
16179,1.65,0,10.75,0.01707
18528,16.89,0,33,0.05248
23229,22.86,0,34.75,0.07245
24289,3.37,0,16.75,0.02484
88279,64.51,0,28.25,0.43939
184530,19.38,0,46.75,0.04795
187850,2.08,0,12,0.01962
210678,15.86,0,45.5,0.03905
13674,705.39,269.02,70.61,1
93899,446.73,153.2,40.21,1
101519,711.09,271.2,71.18,1
136188,802.41,298.55,78.36,1
145488,803.64,299.01,78.48,1
160357,1248.05,330.21,86.67,1
161455,716.38,273.22,71.71,1
171058,746.95,284.87,74.77,1
219336,279.74,0,35.5,1
228709,355.25,0,49,1
228747,246.75,0,32.9,1
252853,743.3,0,103,1
23091,10.88,0,44.25,0.02833
25782,15.58,0,37.25,0.04657
119387,1.91,0,3.25,0.0663
177370,209.45,0,55.75,1
185325,16.36,0,30,0.06493
